"","caseid","age","earnings","scores_cognitive_skill","meduc","feduc","faminc79","numsibs","tuit4","school","yob"
"3276",819,29,34023.37109375,0.629897236824036,4,8,4,2,0.199850127100945,1,1960
"3277",820,26,28672.365234375,0.223052203655243,6,6,0.301999986171722,1,0.232905343174934,1,1958
"3278",820,27,28806.69140625,0.223052203655243,6,6,0.301999986171722,1,0.232905343174934,1,1958
"3279",820,28,28281.03125,0.223052203655243,6,6,0.301999986171722,1,0.232905343174934,1,1958
"3280",820,29,30620.056640625,0.223052203655243,6,6,0.301999986171722,1,0.232905343174934,1,1958
"3281",821,26,27774.205078125,-1.19246709346771,3,2,1.84479999542236,4,0.135431990027428,0,1963
"3282",821,27,26350.4140625,-1.19246709346771,3,2,1.84479999542236,4,0.135431990027428,0,1963
"3283",821,28,20229.0703125,-1.19246709346771,3,2,1.84479999542236,4,0.135431990027428,0,1963
"3284",821,29,24547.400390625,-1.19246709346771,3,2,1.84479999542236,4,0.135431990027428,0,1963
"3285",822,26,13945.7705078125,-3.03531980514526,3,2,0.899999976158142,1,0.153915166854858,0,1961
"3286",822,27,13100.587890625,-3.03531980514526,3,2,0.899999976158142,1,0.153915166854858,0,1961
"3287",822,28,13357.994140625,-3.03531980514526,3,2,0.899999976158142,1,0.153915166854858,0,1961
"3288",822,29,9644.2587890625,-3.03531980514526,3,2,0.899999976158142,1,0.153915166854858,0,1961
"3289",823,26,49720.88671875,1.34996151924133,8,8,0.310000002384186,1,0.207384526729584,1,1958
"3290",823,27,54412.6640625,1.34996151924133,8,8,0.310000002384186,1,0.207384526729584,1,1958
"3291",823,28,59704.39453125,1.34996151924133,8,8,0.310000002384186,1,0.207384526729584,1,1958
"3292",823,29,66697.171875,1.34996151924133,8,8,0.310000002384186,1,0.207384526729584,1,1958
"3293",824,26,28384.625,0.028371661901474,3,4,3,3,0.1336679905653,0,1962
"3294",824,27,32951.30859375,0.028371661901474,3,4,3,3,0.1336679905653,0,1962
"3295",824,28,31620.49609375,0.028371661901474,3,4,3,3,0.1336679905653,0,1962
"3296",824,29,30343.607421875,0.028371661901474,3,4,3,3,0.1336679905653,0,1962
"3297",825,26,30316.908203125,-2.50524306297302,3,3,2.80999994277954,2,0.153915166854858,0,1961
"3298",825,27,46579.89453125,-2.50524306297302,3,3,2.80999994277954,2,0.153915166854858,0,1961
"3299",825,28,38883.86328125,-2.50524306297302,3,3,2.80999994277954,2,0.153915166854858,0,1961
"3300",825,29,31620.49609375,-2.50524306297302,3,3,2.80999994277954,2,0.153915166854858,0,1961
"3301",826,26,30316.908203125,0.933637499809265,6,4,2.5,4,0.153915166854858,1,1961
