"caseid","xsa","xsb","xsb2","xsbc","xsbc2","xsc","za","zb","zc","zd","ze","zf","zg","school"
82,4.0,38.0,366.0,54.0,734.0,12.100712129872347,1.0,9.40799041594556,10.714417768752456,7.0,1.45850789546967,4.0,7.0,1.0
83,4.0,38.0,366.0,54.0,734.0,12.283033704326938,1.0,9.402512444303666,10.896739343207047,3.0,1.23655200004578,4.0,4.0,1.0
84,4.0,38.0,366.0,54.0,734.0,11.813351499960818,1.0,9.418310185248975,10.427057138840928,4.0,1.26574337482452,4.0,7.0,1.0
85,4.0,38.0,366.0,54.0,734.0,12.301382825334498,1.0,9.387203143433732,10.915088464214607,1.0,0.108547866344452,4.0,5.0,1.0
86,4.0,22.0,126.0,6.0,14.0,11.623439177303617,1.0,9.402223854435043,10.237144816183726,4.0,1.01785635948181,4.0,4.0,0.0
87,4.0,22.0,126.0,6.0,14.0,11.623439177303617,1.0,9.376651294633973,10.237144816183726,4.0,1.51425886154175,4.0,4.0,0.0
88,4.0,38.0,366.0,54.0,734.0,11.623439177303617,1.0,9.402223854435043,10.237144816183726,4.0,1.47846376895905,4.0,4.0,1.0
89,4.0,38.0,366.0,54.0,734.0,11.820410192767433,1.0,9.410967737986828,10.434115831647542,3.0,0.33057689666748,7.0,7.0,1.0
90,4.0,22.0,126.0,6.0,14.0,12.100712129872347,1.0,9.379231281934205,10.714417768752456,5.0,-0.108540177345276,3.0,4.0,0.0
91,4.0,22.0,126.0,6.0,14.0,11.982929094215963,1.0,9.379231281934205,10.596634733096073,7.0,-1.45540130138397,7.0,7.0,0.0
92,4.0,22.0,126.0,6.0,14.0,11.338572089178717,1.0,9.38055235589543,9.952277728058826,1.0,-1.06894207000732,7.0,4.0,0.0
93,4.0,22.0,126.0,6.0,14.0,11.904967565633743,1.0,9.379231281934205,10.518673204513853,3.0,-2.60724806785583,3.0,3.0,0.0
94,4.0,22.0,126.0,6.0,14.0,11.84939770159144,1.0,9.415833555000692,10.46310334047155,1.0,0.0648912116885185,4.0,6.0,0.0
95,4.0,22.0,126.0,6.0,14.0,11.84939770159144,1.0,9.392242723405527,10.46310334047155,1.0,-0.250316202640533,4.0,6.0,0.0
96,4.0,38.0,366.0,54.0,734.0,12.736712677205684,1.0,9.397497543700736,11.350418316085793,2.0,1.11226713657379,4.0,6.0,1.0
97,4.0,22.0,126.0,6.0,14.0,12.206072645530174,1.0,9.389289582260853,10.819778284410283,1.0,-0.176965057849884,4.0,8.0,0.0
98,4.0,38.0,366.0,54.0,734.0,11.091330966209549,1.0,9.434507407149297,9.705036605089658,2.0,1.12208437919617,8.0,8.0,1.0
99,4.0,38.0,366.0,54.0,734.0,11.695247021764184,1.0,9.406897780329992,10.308952660644293,0.0,1.2641396522522,7.0,5.0,1.0
100,4.0,22.0,126.0,6.0,14.0,10.93310697397476,1.0,9.497577530905822,9.54681261285487,5.0,-0.325251013040543,4.0,7.0,0.0
101,4.0,38.0,366.0,54.0,734.0,11.695247021764184,1.0,9.379964988590164,10.308952660644293,1.0,0.233373135328293,4.0,7.0,1.0
102,4.0,22.0,126.0,6.0,14.0,11.820410192767433,1.0,9.397497543700736,10.434115831647542,4.0,0.625521540641785,3.0,2.0,0.0
103,4.0,22.0,126.0,6.0,14.0,11.982929094215963,1.0,9.472700312805095,10.596634733096073,2.0,-1.14575827121735,4.0,4.0,0.0
104,4.0,38.0,366.0,54.0,734.0,11.982929094215963,1.0,9.400133948834721,10.596634733096073,2.0,0.493896871805191,4.0,4.0,1.0
105,4.0,22.0,126.0,6.0,14.0,11.708994827774124,1.0,9.400153792202271,10.322700466654233,2.0,0.914644181728363,3.0,6.0,0.0
106,4.0,22.0,126.0,6.0,14.0,11.623439177303617,1.0,9.400162049885164,10.237144816183726,2.0,0.500543057918549,4.0,4.0,0.0
107,4.0,22.0,126.0,6.0,14.0,11.904967565633743,1.0,9.408812399793058,10.518673204513853,3.0,-1.82767105102539,4.0,4.0,0.0
108,4.0,22.0,126.0,6.0,14.0,12.206072645530174,1.0,9.472700312805095,10.819778284410283,2.0,0.236765697598457,4.0,4.0,0.0
109,4.0,38.0,366.0,54.0,734.0,12.206072645530174,1.0,9.438839932723974,10.819778284410283,1.0,1.37384963035583,8.0,8.0,1.0
